Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U2         MSOP-8EP         -1040.354mil    826.811mil  -1040.354mil    826.811mil   -1118.11mil    865.197mil  T        360.00 AL8860MP-13    
TP37       TEST_PAD          -134.843mil    141.732mil   -134.843mil    141.732mil   -134.843mil    141.732mil  B        270.00 TP             
TP36       TEST_PAD          -134.843mil      3.937mil   -134.843mil      3.937mil   -134.843mil      3.937mil  B        270.00 TP             
TP35       TEST_PAD          -134.843mil   -134.055mil   -134.843mil   -134.055mil   -134.843mil   -134.055mil  B        270.00 TP             
TP34       TEST_PAD          -134.843mil   -271.654mil   -134.843mil   -271.654mil   -134.843mil   -271.654mil  B        270.00 TP             
TP33       TEST_PAD         -1326.776mil     921.26mil  -1326.776mil     921.26mil  -1326.776mil     921.26mil  B        360.00 TP             
TP32       TEST_PAD         -1326.776mil    783.465mil  -1326.776mil    783.465mil  -1326.776mil    783.465mil  B        360.00 TP             
TP31       TEST_PAD            571.84mil    -933.07mil     571.84mil    -933.07mil     571.84mil    -933.07mil  B        360.00 TP             
TP30       TEST_PAD          1394.685mil  -1279.528mil   1394.685mil  -1279.528mil   1394.685mil  -1279.528mil  B        180.00 TP             
TP29       TEST_PAD           1532.48mil  -1279.528mil    1532.48mil  -1279.528mil    1532.48mil  -1279.528mil  B        360.00 TP             
TP28       TEST_PAD           1256.89mil  -1279.528mil    1256.89mil  -1279.528mil    1256.89mil  -1279.528mil  B        180.00 TP             
TP22       TEST_PAD           709.646mil   -933.076mil    709.646mil   -933.076mil    709.646mil   -933.076mil  B         90.00 TP             
TP21       TEST_PAD           847.441mil   -933.076mil    847.441mil   -933.076mil    847.441mil   -933.076mil  B         90.00 TP             
TP20       TEST_PAD          1325.968mil    187.047mil   1325.968mil    187.047mil   1325.968mil    187.047mil  B         90.00 TP             
TP19       TEST_PAD          1325.968mil    324.843mil   1325.968mil    324.843mil   1325.968mil    324.843mil  B         90.00 TP             
TP18       TEST_PAD          1325.772mil   -425.197mil   1325.772mil   -425.197mil   1325.772mil   -425.197mil  B         90.00 TP             
TP17       TEST_PAD          1325.772mil   -287.402mil   1325.772mil   -287.402mil   1325.772mil   -287.402mil  B         90.00 TP             
TP16       TEST_PAD          1325.772mil  -1040.354mil   1325.772mil  -1040.354mil   1325.772mil  -1040.354mil  B         90.00 TP             
TP15       TEST_PAD          1325.772mil   -902.559mil   1325.772mil   -902.559mil   1325.772mil   -902.559mil  B         90.00 TP             
